ID,Price
592_#1,1956.9083693557218
592_#2,1945.267505269797
592_#3,1990.476468662961
592_#4,1970.0624013470288
592_#5,2010.477040856565
592_#6,1968.054574283997
592_#7,1965.189019462691
592_#8,1925.136293725539
592_#9,1951.9979443951952
592_#10,1893.6981845686994
592_#11,1976.6012950544807
592_#12,2021.9217850075354
592_#13,1965.712744976125
592_#14,1975.274009518884
592_#15,1977.8472498278184
592_#16,1962.0105774471315
592_#17,1950.0430677729582
592_#18,2003.99146471865
592_#19,2002.1030733943212
592_#20,1978.2618752553
592_#21,1974.8094069729934
592_#22,1961.7974755976923
592_#23,1905.8084179529556
592_#24,1947.0252518370912
592_#25,1928.0472932120742
592_#26,1965.9511461227974
592_#27,1997.8648600016368
592_#28,1908.1050681499216
592_#29,1861.394775008114
592_#30,1920.0122851669262
592_#31,1916.3639097038852
592_#32,1945.8581044980015
592_#33,1954.9427880640476
592_#34,1933.811739555943
592_#35,1923.3565187033576
592_#36,1899.0292357292628
592_#37,1868.981715261798
592_#38,1814.241782103683
592_#39,1809.1743921755904
592_#40,1826.4087407392103
592_#41,1859.6066831911842
592_#42,1885.3451447239022
592_#43,1865.0652031625646
592_#44,1859.362048730608
592_#45,1885.4558156124288
592_#46,1920.206364316327
592_#47,1912.3047256229925
592_#48,1909.9276412308832
592_#49,1878.6331036521847
592_#50,1881.9671330891215
592_#51,1884.4878466434952
592_#52,1793.16210577641
592_#53,1639.1184832985216
592_#54,1569.324439047806
592_#55,1580.2762198803973
592_#56,1565.9143757907582
592_#57,1594.1853351662132
592_#58,1609.0313577323748
592_#59,1648.05423921775
592_#60,1631.0918797814538
592_#61,1648.3944244235372
592_#62,1725.567780065505
592_#63,1783.9435005012347
592_#64,1785.1578369493457
592_#65,1766.4996159520733
592_#66,1794.4506270662944
592_#67,1773.6941059711894
592_#68,1777.6273231796556
592_#69,1771.4800401799976
592_#70,1792.2721489459634
592_#71,1750.5190205837005
592_#72,1779.8792929760752
592_#73,1801.6731507388477
592_#74,1771.980069977019
592_#75,1712.7598400069423
592_#76,1671.7643227301028
592_#77,1629.4268901618263
592_#78,1582.7353654154435
592_#79,1651.2664510945708
592_#80,1655.525780480829
592_#81,1697.6828066925757
592_#82,1684.4723916715966
592_#83,1658.3111987236127
592_#84,1553.3892522046385
592_#85,1513.4188747077649
592_#86,1413.2058901912396
592_#87,1382.89141150704
592_#88,1405.1497805701226
592_#89,1436.4927517815422
592_#90,1523.898552383803
592_#91,1529.1211009151855
592_#92,1602.4694696946967
592_#93,1600.9451845554606
592_#94,1628.694557990109
592_#95,1528.6541571939774
592_#96,1584.7983818265814
592_#97,1596.4906315433373
592_#98,1617.0884119586174
592_#99,1551.9422851170746
592_#100,1568.0668459298713
169_#1,36.13230744859908
169_#2,36.28109872786269
169_#3,37.96724190159725
169_#4,38.9669734868919
169_#5,38.96189807588452
169_#6,39.38332679365638
169_#7,41.70929010112043
169_#8,44.41265011368544
169_#9,43.3388346452495
169_#10,43.36486129702966
169_#11,44.32424501408314
169_#12,44.70273392432117
169_#13,46.107844880468654
169_#14,47.637965856663556
169_#15,48.698827740635565
169_#16,48.463665333984565
169_#17,47.28967094468784
169_#18,46.77390936099507
